case_id,execution_id,jdk,independent_repetition,benchmark,score,score_error,unit,forks,warmup_iterations,warmup_time,measurement_iterations,measurement_time,threads,jmh_version,jdk_version,source_file,source_locator,label,status
PS003,PS003-JDK17-R1,17,1,ijOps,27152.42791191758,5826.385346892243,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,noOps,0.08329813476587739,0.01317429234843106,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,noOpsAdapted,0.10336692027421064,0.012420223017276766,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,noOpsAdaptedAndConverted,0.1284203894112422,0.04901890872049869,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,noOpsConverted,0.07082342500608976,0.014466702035800952,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,sjOps,187.02726106488973,37.93669147639069,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,sjOpsAdapted,4499.427026293116,1939.041423074998,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,sjOpsConverted,6230.687797891201,1198.429125869527,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,sjOpsConvertedAndAdapted,7375.049448223555,1537.0459464388919,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R1,17,1,sjOpsWithCache,36.55431194624044,10.112256288362515,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,ijOps,30715.695740834595,7936.16254845526,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,noOps,0.11265416009238907,0.024307572284846417,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,noOpsAdapted,0.12475201277934149,0.012858952814759508,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,noOpsAdaptedAndConverted,0.16220376685533944,0.03676163168732503,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,noOpsConverted,0.09812087303716159,0.01614944918414182,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,sjOps,199.4884987680075,50.23287904942268,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,sjOpsAdapted,9988.484362660176,2605.2515802037806,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,sjOpsConverted,73236.46854508793,212700.7563040637,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,sjOpsConvertedAndAdapted,7286.73176997427,2532.9595539205384,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R2,17,2,sjOpsWithCache,27.786886641800454,4.127576339476056,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,ijOps,48534.35836165871,13761.929490697536,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,noOps,0.13784771783907865,0.01670442045844464,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,noOpsAdapted,0.16271474970122635,0.013169921602355576,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,noOpsAdaptedAndConverted,0.17343517859766455,0.030809864263762955,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,noOpsConverted,0.1277124166380865,0.009245246936265366,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,sjOps,411.89916274779,52.01239242516812,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,sjOpsAdapted,13437.133683101907,3942.152093783364,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,sjOpsConverted,14632.241767347043,3259.6563520412396,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,sjOpsConvertedAndAdapted,11980.137268872402,2464.206832210407,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK17-R3,17,3,sjOpsWithCache,27.566658011335928,2.969907790173116,us/op,3,5,5 s,10,5 s,1,1.36,17.0.20,evidence/PS003/outputs/jdk17-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,ijOps,22747.424244760707,5144.079135475538,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,noOps,0.09161614941428509,0.027931768808197147,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,noOpsAdapted,0.09356819131952401,0.01708028884853335,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,noOpsAdaptedAndConverted,0.1319137868912616,0.030402067113679803,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,noOpsConverted,0.07354818182274188,0.018717016154935862,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,sjOps,189.38862791179073,16.994089521836166,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,sjOpsAdapted,4468.26360076438,355.1515185893091,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,sjOpsConverted,5502.097702160199,399.7682618581442,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,sjOpsConvertedAndAdapted,8990.778922725263,570.3455574724272,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R1,21,1,sjOpsWithCache,16.590774037282262,4.594510413086615,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,ijOps,19879.782419486823,6514.273906153605,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,noOps,0.08582424452941864,0.005716042376793804,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,noOpsAdapted,0.14553203911578153,0.027184438960504247,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,noOpsAdaptedAndConverted,0.12648424691452828,0.014937486182838945,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,noOpsConverted,0.09213297105022211,0.002597018662135107,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,sjOps,253.77737069333094,16.798687375937323,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,sjOpsAdapted,6659.557095485236,1115.8305342022327,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,sjOpsConverted,7654.186207379037,1215.7613494077573,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,sjOpsConvertedAndAdapted,13670.685712881123,1748.7599639733503,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R2,21,2,sjOpsWithCache,27.651122071186283,8.156254255655455,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,ijOps,31570.681575440143,7535.78302676616,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,noOps,0.08137398727837417,0.006417386577690116,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,noOpsAdapted,0.11557810405181405,0.008926211604310695,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,noOpsAdaptedAndConverted,0.09329920867765638,0.021106566994314856,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,noOpsConverted,0.18400104963624944,0.10241219600770123,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,sjOps,791.6802881588949,242.8068110613831,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,sjOpsAdapted,15890.843190773427,5555.316484635195,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,sjOpsConverted,4268.05221407601,1268.7775062007313,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,sjOpsConvertedAndAdapted,6195.740964964334,1337.1943608690844,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK21-R3,21,3,sjOpsWithCache,8.724136150745858,2.807993898225136,us/op,3,5,5 s,10,5 s,1,1.36,21.0.12,evidence/PS003/outputs/jdk21-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,ijOps,25564.772165505707,3912.5990970384573,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,noOps,0.0623328419310768,0.011197577839407889,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,noOpsAdapted,0.0870644451704868,0.015140960203022594,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,noOpsAdaptedAndConverted,0.07183062436656656,0.010798308662520146,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
